uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
101.20730,,0.00975,-0.01803,-0.01068,-0.00311,0.00054,0.00239,0.02358,-0.00644,-0.00664,0.00075,0.00072,0.00000,0.02510,0.01339,0.02181,0.00005,0.00543,-0.00409,0.24915,1.17542,0.34242,-0.07728,-0.99569,0.01864,0.11209,1.56338,0.51062,-0.01389,0.99868,-0.04860,-0.03572,1.13259,0.37213,-0.04581,0.99103,0.04685
101.41590,,-0.00515,0.00423,-0.00122,-0.00020,0.00013,0.00008,0.00014,0.00416,0.00234,-0.00111,-0.00029,0.00083,-0.00086,0.02183,0.00930,-0.00042,-0.00023,0.00139,0.24400,1.17965,0.34120,-0.07902,-0.99597,0.01334,0.11223,1.56754,0.51296,-0.01052,0.99894,-0.04468,-0.03658,1.15442,0.38142,-0.05242,0.98953,0.06270
101.62440,,-0.02237,-0.00019,-0.00332,-0.00142,-0.00334,-0.00171,-0.02438,-0.00331,0.00094,-0.00010,-0.00414,0.00113,-0.02599,0.00508,-0.01525,0.00111,-0.00134,0.00064,0.22163,1.17945,0.33788,-0.07276,-0.99583,0.00418,0.08786,1.56423,0.51389,-0.00005,0.99906,-0.03700,-0.06257,1.15950,0.36618,-0.05318,0.98963,0.08103
101.83290,,-0.02871,0.01077,0.01051,-0.00126,0.00022,0.00603,-0.02548,-0.00338,0.00305,0.00170,-0.01148,-0.00338,-0.04427,-0.03558,-0.02966,0.00437,0.00023,-0.00620,0.19291,1.19022,0.34839,-0.08612,-0.98908,-0.00189,0.06238,1.56085,0.51694,0.00745,0.97909,-0.04262,-0.10684,1.12392,0.33652,-0.05363,0.99472,0.03059
102.04110,,-0.01201,0.02205,0.02707,-0.00150,-0.00288,0.00234,-0.01266,0.00459,0.00523,-0.00022,-0.00397,0.00039,-0.01552,-0.02998,-0.01051,0.00048,-0.00257,-0.00068,0.18090,1.21227,0.37546,-0.05980,-0.99025,-0.02262,0.04972,1.56543,0.52217,0.00961,0.95867,-0.05283,-0.12236,1.09394,0.32601,-0.05104,0.99675,-0.00512
102.24920,,0.00727,-0.00009,0.00266,-0.00037,0.00057,0.00019,0.00455,0.00020,0.00572,-0.00033,0.00021,-0.00039,0.01508,-0.00001,0.00385,-0.00087,-0.00043,-0.00125,0.18817,1.21218,0.37811,-0.06274,-0.98799,-0.02738,0.05428,1.56563,0.52789,0.00803,0.95189,-0.05381,-0.10729,1.09393,0.32986,-0.05212,0.99762,-0.00347
102.45790,,0.02556,-0.00903,-0.00416,0.00508,-0.00060,-0.00130,0.02946,-0.00569,0.00982,0.00183,0.00046,-0.00208,0.01697,0.00675,0.00914,-0.00335,0.00084,0.00053,0.21373,1.20315,0.37395,-0.05378,-0.99009,-0.02526,0.08373,1.55994,0.53772,0.00396,0.95150,-0.05042,-0.09032,1.10068,0.33901,-0.05383,0.99639,0.02488
102.66630,,0.03488,-0.02868,-0.00012,0.00635,-0.00254,0.00552,0.04860,0.00050,0.01293,0.00057,-0.00117,0.00028,0.02966,0.03781,0.03068,-0.00203,0.00002,-0.00221,0.24861,1.17448,0.37383,-0.05576,-0.99212,0.01521,0.13234,1.56043,0.55065,0.00814,0.94506,-0.05120,-0.06065,1.13849,0.36968,-0.06271,0.99342,0.06508
102.87450,,0.00462,-0.00905,0.00134,-0.00111,0.00207,0.00046,0.02671,0.00213,0.00858,0.00045,-0.00138,0.00080,0.00706,0.04161,0.03086,0.00104,0.00047,-0.00165,0.25323,1.16543,0.37517,-0.05651,-0.99285,0.03080,0.15905,1.56256,0.55923,0.02177,0.93688,-0.06125,-0.05359,1.18010,0.40054,-0.07500,0.98806,0.10203
103.08250,,-0.00862,0.00041,0.00050,-0.00023,-0.00119,0.00048,-0.00460,-0.00379,0.00443,0.00013,-0.00120,0.00069,-0.00849,0.00160,-0.00451,0.00056,-0.00070,0.00017,0.24461,1.16583,0.37567,-0.06059,-0.99290,0.02434,0.15445,1.55877,0.56366,0.03278,0.93099,-0.05862,-0.06209,1.18170,0.39603,-0.06743,0.98840,0.10688
