uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
81.80996,0,0.00030,0.00243,-0.00006,-0.00722,0.00062,-0.00327,0.00264,-0.00026,0.00177,-0.00051,0.00039,0.00024,0.00058,0.00040,0.00313,-0.00233,0.00180,-0.00086,0.02170,1.09124,0.13384,-0.01429,0.97689,-0.08807,-0.18196,1.57921,0.26941,-0.04102,0.99000,0.03133,-0.42119,0.75622,0.14893,-0.23849,-0.89163,0.37919
81.85125,0,0.00124,0.00154,-0.00007,-0.00191,-0.00060,0.00321,0.00155,-0.00045,0.00112,-0.00023,0.00055,0.00000,0.00179,-0.00080,0.00443,0.00504,-0.00158,0.00020,0.02427,1.09676,0.13336,-0.01526,0.97799,-0.07727,-0.17774,1.57862,0.27213,-0.04127,0.99026,0.03167,-0.41688,0.75579,0.16130,-0.22663,-0.89170,0.38570
81.90730,0,0.00383,-0.00460,-0.00072,0.01656,-0.00708,0.00312,0.00201,-0.00060,0.00133,-0.00010,0.00153,-0.00099,0.00246,0.00075,0.00390,-0.00420,0.00203,0.00109,0.03738,1.09260,0.13275,0.01096,0.97199,-0.09083,-0.17021,1.57628,0.27749,-0.04436,0.99063,0.03157,-0.40811,0.75782,0.17464,-0.23726,-0.89406,0.37445
81.96274,1,0.00136,-0.00348,-0.00048,0.00342,0.00239,-0.00253,0.00230,0.00029,0.00168,0.00158,0.00334,-0.00127,0.00212,0.00026,0.00289,0.00075,-0.00011,-0.00154,0.04514,1.07888,0.13109,0.01292,0.97003,-0.10969,-0.16208,1.57816,0.28312,-0.05077,0.99163,0.02738,-0.39928,0.75882,0.18614,-0.23709,-0.89564,0.36992
82.00463,0,-0.00057,-0.00391,-0.00007,0.00389,0.00928,-0.00594,0.00204,0.00428,0.00052,0.00025,0.00156,0.00063,0.00009,0.00359,0.00248,-0.00022,0.00819,-0.00646,0.04568,1.07023,0.13017,0.01046,0.97467,-0.11037,-0.15581,1.58150,0.28666,-0.05019,0.99227,0.02728,-0.39628,0.76597,0.19436,-0.23559,-0.89667,0.36533
82.06011,0,0.00091,-0.00121,0.00207,0.00640,-0.00235,-0.00949,0.00190,0.00011,0.00075,-0.00399,0.00026,0.00191,-0.00044,0.00679,0.00367,0.00388,0.00247,-0.01844,0.04690,1.05780,0.13436,-0.01766,0.97089,-0.15610,-0.14773,1.58171,0.29138,-0.04614,0.99299,0.03289,-0.39818,0.78445,0.20857,-0.18838,-0.89774,0.37730
82.10181,0,-0.00011,0.00070,0.00278,-0.00810,0.00306,0.00066,0.00129,-0.00121,0.00094,0.00023,0.00214,0.00005,0.00239,0.00725,0.00185,-0.00962,-0.00535,-0.00431,0.04735,1.06097,0.14193,-0.02418,0.97473,-0.13606,-0.14329,1.57972,0.29452,-0.04618,0.99353,0.03328,-0.39440,0.80520,0.21614,-0.16761,-0.90793,0.36149
82.15697,0,0.00062,-0.00484,0.00234,0.00535,0.00164,0.00078,0.00084,-0.00058,0.00054,-0.00050,0.00209,-0.00039,0.00325,0.00530,0.00118,-0.01286,-0.00710,0.00890,0.04856,1.04691,0.15171,-0.01854,0.97435,-0.15194,-0.13894,1.57701,0.29688,-0.04851,0.99415,0.03350,-0.38118,0.82855,0.22156,-0.18275,-0.92509,0.32167
82.21237,0,0.00037,-0.00753,0.00220,0.01065,-0.00038,-0.00206,-0.00010,0.00003,0.00072,0.00225,0.00116,0.00079,0.00037,0.00661,-0.00054,-0.00399,-0.00060,-0.01153,0.05088,1.01930,0.16035,-0.02071,0.96804,-0.18725,-0.13831,1.57875,0.29905,-0.04453,0.99495,0.02621,-0.37533,0.85280,0.22269,-0.17803,-0.93575,0.29536
82.25423,0,0.00039,-0.00636,0.00252,0.01225,-0.00361,-0.00244,-0.00073,-0.00037,0.00050,-0.00098,-0.00022,0.00106,0.00094,0.00648,-0.00207,-0.00443,0.00170,-0.00026,0.05153,0.99861,0.16766,-0.01888,0.95915,-0.22598,-0.13983,1.57810,0.30098,-0.04058,0.99522,0.02545,-0.37396,0.87092,0.21844,-0.17117,-0.93879,0.28775
82.30991,0,-0.00069,-0.00594,0.00178,-0.00169,-0.00256,-0.01458,-0.00137,0.00002,0.00023,-0.00123,-0.00066,-0.00070,0.00264,0.00750,-0.00364,-0.01156,-0.00538,-0.01126,0.05184,0.97812,0.17632,-0.04602,0.95361,-0.23831,-0.14381,1.57847,0.30202,-0.04157,0.99500,0.03072,-0.36509,0.90283,0.20434,-0.14574,-0.95664,0.24177
82.35195,0,0.00045,-0.00701,0.00245,0.01048,-0.00352,-0.00209,-0.00176,0.00014,0.00008,-0.00036,-0.00014,-0.00087,0.00345,0.00503,-0.00371,-0.01444,-0.00420,0.01478,0.05235,0.95579,0.18301,-0.06943,0.94339,-0.26729,-0.14847,1.57853,0.30260,-0.04322,0.99480,0.03221,-0.35542,0.91772,0.19412,-0.16127,-0.96174,0.21681
82.40748,0,-0.00004,-0.00552,0.00214,0.01164,-0.00356,-0.00089,-0.00209,-0.00034,0.00003,-0.00075,-0.00029,0.00077,0.00145,0.00654,-0.00396,-0.00723,-0.00326,-0.01058,0.05206,0.93223,0.19179,-0.05458,0.93137,-0.30372,-0.15613,1.57805,0.30245,-0.04134,0.99465,0.03626,-0.34739,0.94347,0.17804,-0.14439,-0.97261,0.17953
82.46323,0,-0.00206,0.00016,0.00068,0.00327,0.00268,0.00454,-0.00240,-0.00052,-0.00011,-0.00081,-0.00133,0.00095,0.00039,0.00630,-0.00360,-0.00808,-0.00021,-0.00181,0.04762,0.92336,0.19726,-0.04780,0.92203,-0.32824,-0.16578,1.57623,0.30205,-0.03842,0.99421,0.03948,-0.34462,0.97006,0.16277,-0.13762,-0.98004,0.14103
82.50491,2,-0.00165,0.00318,-0.00073,-0.00503,-0.00133,0.00622,-0.00268,0.00108,-0.00045,-0.00026,-0.00170,0.00029,0.00082,0.00574,-0.00337,-0.00797,-0.00509,-0.00998,0.04220,0.93159,0.19604,-0.02545,0.92701,-0.31231,-0.17366,1.57865,0.30057,-0.03592,0.99370,0.04094,-0.34369,0.98391,0.15190,-0.12155,-0.98317,0.13532
82.56046,0,-0.00094,0.00251,-0.00081,-0.00100,-0.00563,0.00113,-0.00286,0.00007,-0.00061,-0.00205,-0.00343,0.00177,0.00191,0.00508,-0.00175,-0.01261,-0.00966,0.01068,0.03685,0.94296,0.19173,-0.04301,0.92791,-0.29634,-0.18427,1.58246,0.29829,-0.02823,0.99268,0.04390,-0.33472,1.00292,0.14295,-0.12512,-0.98593,0.10377
